Latitude,Longitude,Height_m,Power_dBm,Frequency_MHz,Path_Loss_dB,Signal_Strength_dBm,Cell_ID,Tower_Type,Environment_Type,Okahamaru_Error_dB,Model_Type
47.9212,106.9186,30,43,900,69.55,43,TOWER_001,Communication_Tower,Urban,2.5,Hata_Okahamaru
47.9250,106.9200,25,40,900,72.1,40,TOWER_002,Antenna,Urban,2.3,Hata_Okahamaru
47.9180,106.9150,35,45,900,68.2,45,TOWER_003,Communication_Tower,Urban,2.7,Hata_Okahamaru
47.9220,106.9220,20,38,900,74.8,38,TOWER_004,Antenna,Suburban,2.1,Hata_Okahamaru
47.9160,106.9180,40,47,900,66.5,47,TOWER_005,Communication_Tower,Urban,2.9,Hata_Okahamaru
47.9240,106.9160,28,42,900,70.3,42,TOWER_006,Antenna,Urban,2.4,Hata_Okahamaru
47.9200,106.9200,32,44,900,67.8,44,TOWER_007,Communication_Tower,Urban,2.6,Hata_Okahamaru
47.9260,106.9190,22,39,900,73.2,39,TOWER_008,Antenna,Suburban,2.2,Hata_Okahamaru
47.9170,106.9210,38,46,900,67.1,46,TOWER_009,Communication_Tower,Urban,2.8,Hata_Okahamaru
47.9230,106.9170,26,41,900,71.5,41,TOWER_010,Antenna,Urban,2.4,Hata_Okahamaru
47.9190,106.9190,33,44,900,68.9,44,TOWER_011,Communication_Tower,Urban,2.5,Hata_Okahamaru
47.9250,106.9180,24,40,900,72.7,40,TOWER_012,Antenna,Suburban,2.2,Hata_Okahamaru
47.9210,106.9210,36,45,900,67.4,45,TOWER_013,Communication_Tower,Urban,2.7,Hata_Okahamaru
47.9180,106.9160,29,42,900,70.8,42,TOWER_014,Antenna,Urban,2.3,Hata_Okahamaru
47.9240,106.9200,31,43,900,69.1,43,TOWER_015,Communication_Tower,Urban,2.6,Hata_Okahamaru
47.9200,106.9170,27,41,900,71.2,41,TOWER_016,Antenna,Urban,2.4,Hata_Okahamaru
47.9260,106.9180,23,39,900,73.5,39,TOWER_017,Antenna,Suburban,2.1,Hata_Okahamaru
47.9170,106.9190,37,46,900,67.7,46,TOWER_018,Communication_Tower,Urban,2.8,Hata_Okahamaru
47.9230,106.9210,34,44,900,68.5,44,TOWER_019,Communication_Tower,Urban,2.6,Hata_Okahamaru
47.9190,106.9160,25,40,900,72.3,40,TOWER_020,Antenna,Suburban,2.3,Hata_Okahamaru
47.9250,106.9170,30,43,900,69.8,43,TOWER_021,Communication_Tower,Urban,2.5,Hata_Okahamaru
47.9210,106.9180,35,45,900,67.2,45,TOWER_022,Communication_Tower,Urban,2.7,Hata_Okahamaru
47.9180,106.9200,28,42,900,70.6,42,TOWER_023,Antenna,Urban,2.4,Hata_Okahamaru
47.9240,106.9190,32,44,900,68.7,44,TOWER_024,Communication_Tower,Urban,2.6,Hata_Okahamaru
47.9200,106.9210,26,41,900,71.9,41,TOWER_025,Antenna,Suburban,2.3,Hata_Okahamaru
47.9260,106.9170,39,46,900,66.8,46,TOWER_026,Communication_Tower,Urban,2.9,Hata_Okahamaru
47.9170,106.9180,33,44,900,68.3,44,TOWER_027,Communication_Tower,Urban,2.5,Hata_Okahamaru
47.9230,106.9200,29,42,900,70.4,42,TOWER_028,Antenna,Urban,2.4,Hata_Okahamaru
47.9190,106.9170,36,45,900,67.6,45,TOWER_029,Communication_Tower,Urban,2.7,Hata_Okahamaru
47.9250,106.9210,24,40,900,72.9,40,TOWER_030,Antenna,Suburban,2.2,Hata_Okahamaru 
